benchmark,profile,creation_bytes,runtime_bytes,runtime_checks
scale_events_2,solc-0.8.36-viair-200,193,169,pass
scale_events_2,solar-gas-200,145,128,pass
scale_events_2,solar-size-1,169,152,pass
scale_events_32,solc-0.8.36-legacy-200,229,203,pass
scale_events_32,solc-0.8.36-viair-200,193,169,pass
scale_events_32,solar-gas-200,145,128,pass
scale_events_32,solar-size-1,169,152,pass
scale_events_4,solc-0.8.36-legacy-200,229,203,pass
scale_events_4,solc-0.8.36-viair-200,193,169,pass
scale_events_4,solar-gas-200,145,128,pass
scale_events_4,solar-size-1,169,152,pass
scale_events_64,solc-0.8.36-legacy-200,229,203,pass
scale_events_64,solc-0.8.36-viair-200,193,169,pass
scale_events_64,solar-gas-200,145,128,pass
scale_events_64,solar-size-1,169,152,pass
scale_events_8,solc-0.8.36-legacy-200,229,203,pass
scale_events_8,solc-0.8.36-viair-200,193,169,pass
scale_events_8,solar-gas-200,145,128,pass
scale_events_8,solar-size-1,169,152,pass
scale_external_calls_1,solc-0.8.36-legacy-200,303,275,pass
scale_external_calls_1,solc-0.8.36-viair-200,262,237,pass
scale_external_calls_1,solar-gas-200,158,141,pass
scale_external_calls_1,solar-size-1,177,160,pass
scale_external_calls_16,solc-0.8.36-legacy-200,303,275,pass
scale_external_calls_16,solc-0.8.36-viair-200,262,237,pass
scale_external_calls_16,solar-gas-200,191,174,pass
scale_external_calls_16,solar-size-1,209,192,pass
scale_external_calls_2,solc-0.8.36-legacy-200,303,275,pass
scale_external_calls_2,solc-0.8.36-viair-200,262,237,pass
scale_external_calls_2,solar-gas-200,191,174,pass
scale_external_calls_2,solar-size-1,209,192,pass
scale_external_calls_32,solc-0.8.36-legacy-200,303,275,pass
scale_external_calls_32,solc-0.8.36-viair-200,262,237,pass
scale_external_calls_32,solar-gas-200,191,174,pass
scale_external_calls_32,solar-size-1,209,192,pass
scale_external_calls_4,solc-0.8.36-legacy-200,303,275,pass
scale_external_calls_4,solc-0.8.36-viair-200,262,237,pass
scale_external_calls_4,solar-gas-200,191,174,pass
scale_external_calls_4,solar-size-1,209,192,pass
scale_external_calls_64,solc-0.8.36-legacy-200,303,275,pass
scale_external_calls_64,solc-0.8.36-viair-200,262,237,pass
scale_external_calls_64,solar-gas-200,191,174,pass
scale_external_calls_64,solar-size-1,209,192,pass
scale_external_calls_8,solc-0.8.36-legacy-200,303,275,pass
scale_external_calls_8,solc-0.8.36-viair-200,262,237,pass
scale_external_calls_8,solar-gas-200,191,174,pass
scale_external_calls_8,solar-size-1,209,192,pass
scale_loop_bound_1,solc-0.8.36-legacy-200,160,134,pass
scale_loop_bound_1,solc-0.8.36-viair-200,136,112,pass
scale_loop_bound_1,solar-gas-200,82,65,pass
scale_loop_bound_1,solar-size-1,83,66,pass
scale_loop_bound_16,solc-0.8.36-legacy-200,160,134,pass
scale_loop_bound_16,solc-0.8.36-viair-200,136,112,pass
scale_loop_bound_16,solar-gas-200,109,92,pass
scale_loop_bound_16,solar-size-1,97,80,pass
scale_loop_bound_2,solc-0.8.36-legacy-200,160,134,pass
scale_loop_bound_2,solc-0.8.36-viair-200,136,112,pass
scale_loop_bound_2,solar-gas-200,109,92,pass
scale_loop_bound_2,solar-size-1,97,80,pass
scale_loop_bound_32,solc-0.8.36-legacy-200,160,134,pass
scale_loop_bound_32,solc-0.8.36-viair-200,136,112,pass
scale_loop_bound_32,solar-gas-200,109,92,pass
scale_loop_bound_32,solar-size-1,97,80,pass
scale_loop_bound_4,solc-0.8.36-legacy-200,160,134,pass
scale_loop_bound_4,solc-0.8.36-viair-200,136,112,pass
scale_loop_bound_4,solar-gas-200,109,92,pass
scale_loop_bound_4,solar-size-1,97,80,pass
scale_loop_bound_64,solc-0.8.36-legacy-200,160,134,pass
scale_loop_bound_64,solc-0.8.36-viair-200,136,112,pass
scale_loop_bound_64,solar-gas-200,109,92,pass
scale_loop_bound_64,solar-size-1,97,80,pass
scale_loop_bound_8,solc-0.8.36-legacy-200,160,134,pass
scale_loop_bound_8,solc-0.8.36-viair-200,136,112,pass
scale_loop_bound_8,solar-gas-200,109,92,pass
scale_loop_bound_8,solar-size-1,97,80,pass
scale_mapping_depth_1,solc-0.8.36-legacy-200,267,240,pass
scale_mapping_depth_1,solc-0.8.36-viair-200,195,171,pass
scale_mapping_depth_1,solar-gas-200,153,136,pass
scale_mapping_depth_1,solar-size-1,151,134,pass
scale_mapping_depth_16,solc-0.8.36-legacy-200,1532,1504,pass
scale_mapping_depth_16,solc-0.8.36-viair-200,1643,1617,pass
scale_mapping_depth_16,solar-gas-200,1348,1330,pass
scale_mapping_depth_16,solar-size-1,1283,1265,pass
scale_mapping_depth_2,solc-0.8.36-legacy-200,368,340,pass
scale_mapping_depth_2,solc-0.8.36-viair-200,342,316,pass
scale_mapping_depth_2,solar-gas-200,241,224,pass
scale_mapping_depth_2,solar-size-1,242,225,pass
scale_mapping_depth_32,solc-0.8.36-legacy-200,2875,2847,pass
scale_mapping_depth_32,solc-0.8.36-viair-200,3132,3106,pass
scale_mapping_depth_32,solar-gas-200,2539,2521,pass
scale_mapping_depth_32,solar-size-1,2566,2548,pass
scale_mapping_depth_4,solc-0.8.36-legacy-200,528,500,pass
scale_mapping_depth_4,solc-0.8.36-viair-200,528,502,pass
scale_mapping_depth_4,solar-gas-200,397,379,pass
scale_mapping_depth_4,solar-size-1,390,372,pass
scale_mapping_depth_64,solc-0.8.36-legacy-200,5554,5526,pass
scale_mapping_depth_64,solc-0.8.36-viair-200,6105,6079,pass
scale_mapping_depth_64,solar-gas-200,4813,4795,pass
scale_mapping_depth_64,solar-size-1,5030,5012,pass
scale_mapping_depth_8,solc-0.8.36-legacy-200,862,834,pass
scale_mapping_depth_8,solc-0.8.36-viair-200,899,873,pass
scale_mapping_depth_8,solar-gas-200,720,702,pass
scale_mapping_depth_8,solar-size-1,685,667,pass
scale_storage_slots_1,solc-0.8.36-legacy-200,229,203,pass
scale_storage_slots_1,solc-0.8.36-viair-200,165,141,pass
scale_storage_slots_1,solar-gas-200,83,66,pass
scale_storage_slots_1,solar-size-1,83,66,pass
scale_storage_slots_16,solc-0.8.36-legacy-200,1256,1228,pass
scale_storage_slots_16,solc-0.8.36-viair-200,1349,1323,pass
scale_storage_slots_16,solar-gas-200,1053,1035,pass
scale_storage_slots_16,solar-size-1,915,897,pass
scale_storage_slots_2,solc-0.8.36-legacy-200,315,287,pass
scale_storage_slots_2,solc-0.8.36-viair-200,257,232,pass
scale_storage_slots_2,solar-gas-200,162,145,pass
scale_storage_slots_2,solar-size-1,162,145,pass
scale_storage_slots_32,solc-0.8.36-legacy-200,2340,2312,pass
scale_storage_slots_32,solc-0.8.36-viair-200,2567,2541,pass
scale_storage_slots_32,solar-gas-200,2010,1992,pass
scale_storage_slots_32,solar-size-1,1863,1845,pass
scale_storage_slots_4,solc-0.8.36-legacy-200,443,415,pass
scale_storage_slots_4,solc-0.8.36-viair-200,432,406,pass
scale_storage_slots_4,solar-gas-200,287,269,pass
scale_storage_slots_4,solar-size-1,272,255,pass
scale_storage_slots_64,solc-0.8.36-legacy-200,4508,4480,pass
scale_storage_slots_64,solc-0.8.36-viair-200,5001,4975,pass
scale_storage_slots_64,solar-gas-200,3806,3788,pass
scale_storage_slots_64,solar-size-1,3655,3637,pass
scale_storage_slots_8,solc-0.8.36-legacy-200,714,686,pass
scale_storage_slots_8,solc-0.8.36-viair-200,741,715,pass
scale_storage_slots_8,solar-gas-200,545,527,pass
scale_storage_slots_8,solar-size-1,494,476,pass
scaling_dispatch_N,solc-0.8.36-legacy-200,830,802,pass
scaling_dispatch_N,solc-0.8.36-viair-200,1354,1328,pass
scaling_dispatch_N,solar-gas-200,791,773,pass
scaling_dispatch_N,solar-size-1,662,644,pass
uniswap_v2_factory,solc-0.8.36-legacy-200,2447,1764,pass
uniswap_v2_factory,solc-0.8.36-viair-200,2635,2034,pass
uniswap_v2_factory,solar-gas-200,2213,1361,pass
uniswap_v2_factory,solar-size-1,2181,1332,pass
uniswap_v2_pair,solc-0.8.36-legacy-200,8510,8243,pass
uniswap_v2_pair,solc-0.8.36-viair-200,7930,7631,pass
uniswap_v2_pair,solar-gas-200,7508,7319,pass
uniswap_v2_pair,solar-size-1,7478,7289,pass
vault_deposit_withdraw,solc-0.8.36-legacy-200,863,835,pass
vault_deposit_withdraw,solc-0.8.36-viair-200,758,732,pass
vault_deposit_withdraw,solar-gas-200,544,526,pass
vault_deposit_withdraw,solar-size-1,501,483,pass
yearn_vault_v2,solc-0.8.36-legacy-200,21912,21884,pass
yearn_vault_v2,solc-0.8.36-viair-200,21834,21808,pass
yearn_vault_v2,solar-gas-200,16056,16038,pass
yearn_vault_v2,solar-size-1,16456,16438,pass
yearn_vault_v3,solc-0.8.36-legacy-200,25279,25233,pass
yearn_vault_v3,solc-0.8.36-viair-200,28572,28528,pass
yearn_vault_v3,solar-gas-200,22300,22262,pass
yearn_vault_v3,solar-size-1,22715,22677,pass
